gcc_size, pn 
126674, 0.989641
125389, 0.979602
124102, 0.969547
122819, 0.959523
121531, 0.949461
120242, 0.939391
118954, 0.929328
117669, 0.919289
116379, 0.909211
115091, 0.899148
113807, 0.889117
112519, 0.879055
111233, 0.869008
109945, 0.858945
108658, 0.848891
107366, 0.838797
106076, 0.828719
104783, 0.818617
103497, 0.80857
102206, 0.798484
100915, 0.788398
99626, 0.778328
98323, 0.768148
97027, 0.758023
95732, 0.747906
94433, 0.737758
93135, 0.727617
91833, 0.717445
90529, 0.707258
89219, 0.697023
87909, 0.686789
86601, 0.67657
85274, 0.666203
83946, 0.655828
82613, 0.645414
81300, 0.635156
79973, 0.624789
78653, 0.614477
77322, 0.604078
75993, 0.593695
74655, 0.583242
73319, 0.572805
71970, 0.562266
70628, 0.551781
69276, 0.541219
67908, 0.530531
66553, 0.519945
65199, 0.509367
63814, 0.498547
62441, 0.48782
61050, 0.476953
59630, 0.465859
58211, 0.454773
56780, 0.443594
55336, 0.432312
53894, 0.421047
52449, 0.409758
50976, 0.39825
49461, 0.386414
47952, 0.374625
46457, 0.362945
44929, 0.351008
43362, 0.338766
41732, 0.326031
40123, 0.313461
38506, 0.300828
36813, 0.287602
35102, 0.274234
33296, 0.260125
31483, 0.245961
29547, 0.230836
27541, 0.215164
25534, 0.199484
23302, 0.182047
20988, 0.163969
18545, 0.144883
15809, 0.123508
12493, 0.0976016
8785, 0.0686328
3703, 0.0289297
52, 0.00040625
1, 7.8125e-06
